MODEL,OVERALL_RAT,DRIVING_RAT,COMFORT_RAT,INT_EXT_RAT,VALUE_RAT
C300 Sedan,9.6,9.5,9.5,9.2,9.2
C300 4MATIC Sedan,5.8,5,6.2,6.2,3.6
C350e Plug-in Hybrid Sedan,8.8,9.2,8.9,9.2,9
AMG C43 Sedan,9.4,9.2,9.4,9.2,9.3
AMG C63 Sedan,7.7,7.4,8.2,8.6,6.4
AMG C63 S Sedan,7.8,7.5,8.3,8.7,6.5
C300 Coupe,9.6,9.4,9.3,8.7,9.6
C300 4MATIC Coupe,9.6,9.5,9.4,9.4,9.6
AMG C43 Coupe,9.5,9.4,9.5,9.3,9.4
AMG C63 Coupe,9.5,9.4,9.5,9.3,9.4
AMG C63 S Coupe,9.6,9.5,9.4,9.5,9.3
C300 Cabriolet,9.5,9.4,9.4,9.1,9.1
C300 4MATIC Cabriolet,9.4,9.4,8.8,9,8.9
AMG C43 Cabriolet,9.4,8.8,9.4,8,9.5
AMG C63 Cabriolet,9.4,9.2,9.4,9.4,9.4
AMG C63 S Cabriolet,9.3,9.4,8.5,8.7,8.7
E300 Sedan,8.1,8.5,8,8.5,7.5
E300 4MATIC Sedan,8.4,9.1,8,9,7.9
AMG E43 Sedan,8.6,8.4,9,8.8,8.5
E400 Coupe,9.4,9.3,9.4,9.2,9.3
E400 4MATIC Coupe,8.9,9,8.7,8.7,8.9
E550 Coupe,8.3,8.9,8.1,8.9,8
E400 Cabriolet,9,9.1,8.8,8.8,8.7
E550 Cabriolet,8,8.3,8.6,9,7.9
S550 Sedan,9.1,8.7,8.3,8.4,9.1
S550e Plug-in Hybrid,8.1,8.5,8,8.5,7.5
S550 4MATIC Sedan,9,9.2,8.7,9.1,8.8
S600 Sedan,8.8,8.9,9.1,8.8,9
AMG S63 Sedan,7.7,7,7.8,8,7.6
AMG S65 Sedan,7.7,7,7.8,8,7.6
S550 4MATIC Coupe,8.5,8.9,8.6,8.8,8.1
AMG S63 Coupe,7.9,8,8.1,7.6,7.4
AMG S65 Coupe,7.6,7.9,7.5,7.3,6.6
S550 Cabriolet,7.9,8.5,8.9,7.4,6.4
AMG S63 Cabriolet,6.9,7.6,8.2,8.2,4.8
AMG S65 Cabriolet,9,9.2,7.9,8.6,8.4
Mercedes-Maybach S550 4MATIC Sedan,6.9,8.4,7.6,7.9,5.8
Mercedes-Maybach S600 Sedan,7.3,7.2,7.9,7.1,6.9
CLA250 Coupe,8.3,8.7,9.1,8.9,8.6
CLA250 4MATIC Coupe,7.5,7.7,8.3,8,7.2
AMG CLA45 Coupe,8.4,9.1,8,9,7.9
2016 CLS400 Coupe,9.4,9.1,9,9.2,9.3
2016 CLS400 4MATIC Coupe,8.9,8.9,8.7,8.6,8.8
CLS550 Coupe,7.9,8.3,6.7,7.9,8.7
CLS550 4MATIC Coupe,8.7,8,8.6,8.2,8.9
AMG CLS63 S Coupe,8.2,7.6,6,8,5.9
GLA250 SUV,6.3,8.4,7.7,7.7,6.2
GLA250 4MATIC SUV,8.3,8.5,9.1,8.8,8.4
AMG GLA45 SUV,9,7.2,7,7.6,9
GLC300 4MATIC Coupe,7.2,7,7.6,7.5,7.4
AMG GLC43 Coupe,9,7.7,7.9,7.5,8.8
GLC300 SUV,9.2,9.3,8.4,9.1,8.7
GLC300 4MATIC SUV,7.9,8.5,7.9,8.1,8.1
AMG GLC43 SUV,6.8,6.3,7.7,6.8,7.3
AMG GLE43 Coupe,9,8.7,9,8.9,9.3
AMG GLE63 S Coupe,9.1,8.6,9,8.6,9.2
GLE350 SUV,8.3,8.2,7.7,8.2,7.8
GLE350 4MATIC SUV,8.4,8.3,8.8,8.5,8.7
GLE550e 4MATIC Plug-in Hybrid SUV,7.4,7.7,8,8.3,7.7
AMG GLE43 SUV,8.4,8.4,8.9,8.4,8.5
AMG GLE63 SUV,7.3,7.3,7.5,7.4,7.2
AMG GLE63 S SUV,7.7,7.9,8.8,8.1,8.4
SLC300 Roadster,6.9,7.5,7.7,7.3,6.8
AMG SLC43 Roadster,7.9,7.7,8.1,7.8,7.9
SL450 Roadster,9.5,9.4,9.3,8.9,9.1
SL550 Roadster,7.1,7.5,7.1,7.6,7.1
AMG SL63 Roadster,8.6,7.9,9,7.9,8.3
AMG SL65 Roadster,8.2,8.2,9,8.5,8.7
GLS450 SUV,7.6,8.1,7.9,8.4,6.9
GLS550 SUV,7.1,7.4,8.2,7.5,6.5
AMG GLS63 SUV,7.7,7.3,6.7,6.9,6.7
G550 SUV,8.2,8.5,7.8,8.5,8.2
AMG G63 SUV,7.9,7,7.3,7.9,8.4
AMG G65 SUV,8.8,9.1,8.6,8.9,8.9
E400 4MATIC Wagon,8.9,9.1,8.3,8.8,8
